pattern,original_bytes,tool,total_bytes,total_ratio_percent,payload_bits,payload_equivalent_bytes,payload_ratio_percent,metadata_bits,metadata_equivalent_bytes,roundtrip_verified,compressed_sha256,original_sha256,accounting_details
period-6-010111,1,gzip,21,2100,24,3,300,144,18,True,8ea776040e798cccdd5f0ffedc911b2e95ed69633fad99ef56c8fbb0d2096df3,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""member_header_bytes"": 10, ""member_trailer_bytes"": 8, ""payload_definition"": ""raw DEFLATE stream""}"
period-6-010111,1,xz,68,6800,40,5,500,504,63,True,5253e41cec3eef76836fdddde823879c9826f25405ab0a5185bbcebf9522db63,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""block_checks_bytes"": 8, ""block_count"": 1, ""block_header_bytes"": 20, ""block_padding_bytes"": 3, ""index_bytes"": 8, ""payload_definition"": ""XZ Compressed Data field(s), normally LZMA2"", ""stream_header_footer_bytes"": 24}"
period-6-010111,1,bzip2,37,3700,179,22.375,2237.5,117,14.625,True,c2c3bdc75da097685d23b36b9921ee973874b97cf0d30988c0a2f251a8d8f3eb,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""payload_definition"": ""compressed block stream between BZh header and EOS marker"", ""stream_header_bits"": 32, ""stream_trailer_and_padding_bits"": 85}"
period-6-010111,1,lzma,24,2400,88,11,1100,104,13,True,b160b8e9471dd24106f78ba88503b47bd3e9de1ee5fde2330b31a4b6909bdcbd,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""header_bytes"": 13, ""payload_definition"": ""LZMA Compressed Data field""}"
period-6-010111,1,lz4,20,2000,8,1,100,152,19,True,82e6b55ecc1878ce4bc090696160270605924575fff8efabcf708c0d8f52d391,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""block_checksum_bytes"": 0, ""block_count"": 1, ""block_size_headers_and_endmark_bytes"": 8, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 7, ""payload_definition"": ""sum of LZ4 Data Block fields""}"
period-6-010111,1,zstd,14,1400,8,1,100,104,13,True,e480e24e0b80f98f114f6be716fe41308497347047a8a08844dbc19039805117,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""block_count"": 1, ""block_header_bytes"": 3, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 6, ""payload_definition"": ""sum of stored Zstandard Block_Content fields""}"
period-6-010111,10,gzip,28,280,80,10,100,144,18,True,1f1ffa01617d99e330708f7298def6bae65fe07078e83c96021bba1a84b05619,53a148a0edfe45842410d139c215e18d19e965bad271c1fc2d724132041da5a5,"{""member_header_bytes"": 10, ""member_trailer_bytes"": 8, ""payload_definition"": ""raw DEFLATE stream""}"
period-6-010111,10,xz,76,760,112,14,140,496,62,True,bc3df35c68bacdec8f55bd0793c9d5d2994a07381741407c45e0ef8cd64ed706,53a148a0edfe45842410d139c215e18d19e965bad271c1fc2d724132041da5a5,"{""block_checks_bytes"": 8, ""block_count"": 1, ""block_header_bytes"": 20, ""block_padding_bytes"": 2, ""index_bytes"": 8, ""payload_definition"": ""XZ Compressed Data field(s), normally LZMA2"", ""stream_header_footer_bytes"": 24}"
period-6-010111,10,bzip2,39,390,197,24.625,246.25,115,14.375,True,4ba483a7effdd7cd2a98614f250a39ee63f9da50325d4432f61aa7b65dbc2678,53a148a0edfe45842410d139c215e18d19e965bad271c1fc2d724132041da5a5,"{""payload_definition"": ""compressed block stream between BZh header and EOS marker"", ""stream_header_bits"": 32, ""stream_trailer_and_padding_bits"": 83}"
period-6-010111,10,lzma,29,290,128,16,160,104,13,True,8ee0cdf4fd92c70933fb0bbd912e7b13034acfe848afa7d355854b3ed9fd4dbb,53a148a0edfe45842410d139c215e18d19e965bad271c1fc2d724132041da5a5,"{""header_bytes"": 13, ""payload_definition"": ""LZMA Compressed Data field""}"
period-6-010111,10,lz4,29,290,80,10,100,152,19,True,abdc2e1b66674730f6b9b82b363672627cd713269cf61e12314dc79bb1b1e009,53a148a0edfe45842410d139c215e18d19e965bad271c1fc2d724132041da5a5,"{""block_checksum_bytes"": 0, ""block_count"": 1, ""block_size_headers_and_endmark_bytes"": 8, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 7, ""payload_definition"": ""sum of LZ4 Data Block fields""}"
period-6-010111,10,zstd,23,230,80,10,100,104,13,True,bf94c67f8453fe474a8b944efaf924b0270891e52aeaeba91551352957be30ee,53a148a0edfe45842410d139c215e18d19e965bad271c1fc2d724132041da5a5,"{""block_count"": 1, ""block_header_bytes"": 3, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 6, ""payload_definition"": ""sum of stored Zstandard Block_Content fields""}"
